Question Title,Difficulty,URL,Total Accepted,Total Submissions,Paid Only
Analyze Subscription Conversion ,Medium,https://leetcode.com/problems/analyze-subscription-conversion/,1027,1178,No
Minimum Cost to Reach Every Position,Easy,https://leetcode.com/problems/minimum-cost-to-reach-every-position/,25533,30836,No
Analyze Organization Hierarchy,Hard,https://leetcode.com/problems/analyze-organization-hierarchy/,771,1136,No
Maximum Containers on a Ship,Easy,https://leetcode.com/problems/maximum-containers-on-a-ship/,37703,50816,No
DNA Pattern Recognition ,Medium,https://leetcode.com/problems/dna-pattern-recognition/,2611,2985,No
Reverse Degree of a String,Easy,https://leetcode.com/problems/reverse-degree-of-a-string/,29280,33112,No
Properties Graph,Medium,https://leetcode.com/problems/properties-graph/,18758,40657,No
Longest Palindrome After Substring Concatenation II,Hard,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/,3352,25580,No
Maximize Active Section with Trade I,Medium,https://leetcode.com/problems/maximize-active-section-with-trade-i/,10547,36114,No
Maximize Active Section with Trade II,Hard,https://leetcode.com/problems/maximize-active-section-with-trade-ii/,628,3708,No
Find Products with Valid Serial Numbers,Easy,https://leetcode.com/problems/find-products-with-valid-serial-numbers/,3634,4257,No
Count Beautiful Numbers,Hard,https://leetcode.com/problems/count-beautiful-numbers/,3310,16660,No
Unique 3-Digit Even Numbers,Easy,https://leetcode.com/problems/unique-3-digit-even-numbers/,26306,40099,No
Longest Special Path II,Hard,https://leetcode.com/problems/longest-special-path-ii/,1185,7855,No
Design Spreadsheet,Medium,https://leetcode.com/problems/design-spreadsheet/,18162,26664,No
Zero Array Transformation IV,Medium,https://leetcode.com/problems/zero-array-transformation-iv/,7770,26946,No
Find the Minimum Amount of Time to Brew Potions,Medium,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/,8537,26524,No
Longest Palindrome After Substring Concatenation I,Medium,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/,16416,38298,No
Find Invalid IP Addresses,Hard,https://leetcode.com/problems/find-invalid-ip-addresses/,1933,3186,No
Fruits Into Baskets III,Medium,https://leetcode.com/problems/fruits-into-baskets-iii/,6656,32172,No
Fruits Into Baskets II,Easy,https://leetcode.com/problems/fruits-into-baskets-ii/,33085,64753,No
Maximize Subarrays After Removing One Conflicting Pair,Hard,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair/,2107,6775,No
Maximum Unique Subarray Sum After Deletion,Easy,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/,27979,104872,No
Longest Palindromic Subsequence After at Most K Operations,Medium,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/,12283,34416,No
Find the Number of Copy Arrays,Medium,https://leetcode.com/problems/find-the-number-of-copy-arrays/,18462,40629,No
Longest Common Prefix of K Strings After Removal,Hard,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/,4248,21917,No
Permutations IV,Hard,https://leetcode.com/problems/permutations-iv/,2277,8618,No
Find Valid Emails,Easy,https://leetcode.com/problems/find-valid-emails/,5490,9287,No
Maximize the Distance Between Points on a Square,Hard,https://leetcode.com/problems/maximize-the-distance-between-points-on-a-square/,2448,13242,No
Eat Pizzas!,Medium,https://leetcode.com/problems/eat-pizzas/,20633,63361,No
Transform Array by Parity,Easy,https://leetcode.com/problems/transform-array-by-parity/,41113,46197,No
Find Minimum Cost to Remove Array Elements,Medium,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/,8080,46738,No
Separate Squares II,Hard,https://leetcode.com/problems/separate-squares-ii/,1977,10247,No
Check If Digits Are Equal in String After Operations II,Hard,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/,6346,64429,No
Select K Disjoint Special Substrings,Medium,https://leetcode.com/problems/select-k-disjoint-special-substrings/,8655,48720,No
Lexicographically Smallest Generated String,Hard,https://leetcode.com/problems/lexicographically-smallest-generated-string/,2837,9895,No
Check If Digits Are Equal in String After Operations I,Easy,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/,43160,53860,No
Find Students Who Improved,Medium,https://leetcode.com/problems/find-students-who-improved/,4652,9644,No
Minimum Cost to Divide Array Into Subarrays,Hard,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/,2068,10308,No
Maximum Sum With at Most K Elements,Medium,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/,33015,54758,No
Separate Squares I,Medium,https://leetcode.com/problems/separate-squares-i/,19903,54548,No
Maximize the Minimum Game Score,Hard,https://leetcode.com/problems/maximize-the-minimum-game-score/,2836,11639,No
Maximum Difference Between Even and Odd Frequency II,Hard,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii/,2057,10713,No
Assign Elements to Groups with Constraints,Medium,https://leetcode.com/problems/assign-elements-to-groups-with-constraints/,18047,66813,No
Choose K Elements With Maximum Sum,Medium,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/,15311,50137,No
Maximum Manhattan Distance After K Changes,Medium,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/,15540,50159,No
Maximum Difference Between Even and Odd Frequency I,Easy,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i/,39424,80263,No
Maximum Frequency After Subarray Operation,Medium,https://leetcode.com/problems/maximum-frequency-after-subarray-operation/,12075,51498,No
Closest Equal Element Queries,Medium,https://leetcode.com/problems/closest-equal-element-queries/,16368,53938,No
Sort Matrix by Diagonals,Medium,https://leetcode.com/problems/sort-matrix-by-diagonals/,27826,38361,No
Maximum Difference Between Adjacent Elements in a Circular Array,Easy,https://leetcode.com/problems/maximum-difference-between-adjacent-elements-in-a-circular-array/,36735,49731,No
Minimum Operations to Make Array Elements Zero,Hard,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/,4954,16460,No
Reschedule Meetings for Maximum Free Time I,Medium,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/,17372,55441,No
Reschedule Meetings for Maximum Free Time II,Medium,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/,9861,24608,No
Manhattan Distances of All Arrangements of Pieces,Hard,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces/,3060,8585,No
Paint House IV,Medium,https://leetcode.com/problems/paint-house-iv/,8281,18286,No
Find Valid Pair of Adjacent Digits in String,Easy,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string/,36251,58860,No
Length of Longest V-Shaped Diagonal Segment,Hard,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/,4611,11582,No
Sum of Variable Length Subarrays,Easy,https://leetcode.com/problems/sum-of-variable-length-subarrays/,39439,45876,No
Maximum and Minimum Sums of at Most Size K Subarrays,Hard,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/,2928,12476,No
Sum of Good Numbers,Easy,https://leetcode.com/problems/sum-of-good-numbers/,40686,58184,No
Sum of K Subarrays With Length at Least M,Medium,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/,5971,24585,No
Count Mentions Per User,Medium,https://leetcode.com/problems/count-mentions-per-user/,14764,49050,No
